KY292294	Pt_14_2013
MH271362	Pt_147_2016
MH271363	Pt_165_2017
KY292305	Pt_21_2014
MK107986	Pt_230_2017
MH271365	Pt_232_2017
KY292293	Pt_27_2015
KY292297	Pt_31_2015
KY292302	Pt_36_2015
KY292303	Pt_37_2015
KY292301	Pt_39_2015
MK107987	Pt_396_2017
KY292299	Pt_42_2016
KY292296	Pt_43_2016
KY292304	Pt_54_2016
KY292298	Pt_59_2016
KY308187	Pt_61_2016
KY292291	Pt_63_2016
MH271367	Pt_660_2017
MH271369	Pt_664_2017
MH271366	Pt_668_2017
MH271370	Pt_713_2017
MK107988	Pt_722_2017
MK107989	Pt_723_2017
MK107990	Pt_725_2017
MH271371	Pt_734_2017
MH271372	Pt_744_2017
MH271374	Pt_752_2018
MH271375	Pt_754_2018
MK107991	Pt_777_2018
MH271377	Pt_779_2018
MK107992	Pt_783_2018
MK462239	Pt_803_2018
KY292290	Pt_85_2016
KY292295	Pt_9_2013
KY292292	Pt_90_2016
KY292300	Pt_97_2016
MH271361	Pt_99_2016
